Cryptocurrency,Precio promedio último año (USD),Ranking,Precio actual (USD),Capitalización de mercado (USD),Volumen de operaciones en 24 horas (USD)
Ethereum,1751.7192283649727,2,1640.61,197203998907,11919170866
Bitcoin,26321.22440801349,1,25924.0,504632432855,9798205390
Uniswap,5.782230719570506,21,4.69,3535677824,133698868
Tether,1.0006486640272463,3,0.99928,82810512324,16089263972
Binancecoin,286.19515925957256,4,214.52,33007740946,831681809
Eos,0.9442965083300683,58,0.580084,648193594,103673980
Frax,0.9994898257593691,48,0.994964,802462701,5609290
Usd-coin,1.00015276697279,6,1.0,25919730473,5610857103
Pax-gold,1926.5619021446262,78,1898.08,472876961,8493860
Tether-gold,1930.7532178426388,81,1906.28,469870652,4010453
